state,total,one_shot,two_shots,three_shots,unit_shot,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
AC,1.149.188,588.622,475.943,62.861,12.376,11167,26018,48879,53644,72492,169148,172418,197964,125899,94742,83970,92847
AL,4.577.497,2.311.269,1.898.210,306.748,55.874,38335,78930,250859,321600,360949,386539,469511,822957,596012,483429,424835,343541
AM,5.477.539,2.761.227,2.229.947,321.544,55.672,92890,236553,263449,329538,355967,775220,589050,691124,744082,513727,478392,407547
AP,1.007.882,519.584,404.299,54.134,10.961,11591,22044,44612,58843,65031,101990,136561,163231,123812,117621,85359,77187
BA,22.522.188,11.101.626,9.333.727,1.712.398,263.958,208034,417119,1377437,1555727,1501623,1894322,2386813,3784400,2883004,2521086,2238196,1754427
CE,14.629.060,7.136.294,5.977.103,1.264.972,162.513,133488,306925,696722,941096,683088,1725474,1290490,2398169,2106185,1664179,1450080,1233164
DF,4.834.601,2.297.042,2.071.180,381.667,60.164,48847,124728,211550,318171,260132,380943,568019,962267,610814,577434,418619,353077
ES,6.617.303,3.110.270,2.678.401,663.741,106.093,58519,117258,334886,464767,554888,720658,688440,1066114,896835,756718,537467,420753
GO,10.834.839,5.333.222,4.496.022,803.287,157.491,96836,202069,513736,725216,682419,993681,1308107,1803052,1413100,1204194,1068613,823816
MA,8.878.987,4.508.729,3.651.118,565.009,112.367,71865,151472,362947,759235,563387,1317659,974767,1292192,1287245,799895,677487,620836
MG,35.109.227,16.494.190,14.832.756,3.090.483,501.463,204872,683545,1834804,2673498,2169068,2833199,4477063,5056250,4510761,4774996,3440884,2450287
MS,4.689.852,2.048.090,1.774.710,415.450,186.896,66311,113510,251974,316219,466239,447438,703922,754883,637201,315677,271975,344503
MT,5.123.826,2.586.825,2.135.528,284.730,96.188,50398,95426,155381,349574,307624,414472,767973,756122,690963,732031,440625,363237
PA,10.979.162,5.607.615,4.545.527,653.575,136.007,68370,160556,636035,511988,596280,1213774,1184503,1557655,1544286,1335035,1085248,1085432
PB,6.493.397,3.088.233,2.735.214,603.659,46.108,62132,106832,433550,457496,351986,499982,632922,989761,830926,803212,789225,535373
PE,14.822.428,7.221.696,6.075.380,1.151.768,118.020,125124,303404,745069,966759,779379,1394808,1673783,2235950,2052183,1834898,1514342,1196729
PI,5.333.258,2.585.614,2.283.450,402.767,50.570,39748,64389,248065,339246,292854,469532,554704,786821,742002,726570,601600,467727
PR,19.281.108,9.161.693,8.133.104,1.493.498,326.996,162509,277137,997077,1460391,1080756,1915953,2383773,2950675,2585630,2498621,1671150,1297436
RJ,28.613.363,13.342.426,11.907.975,2.917.498,379.461,258122,596481,1308433,2735421,2071521,2288498,3815447,4476566,3872041,3061927,2566617,1562289
RN,5.512.339,2.650.460,2.274.654,470.363,59.441,57496,83044,306142,364779,375804,518696,568118,903069,800725,580619,525533,428314
RO,2.477.985,1.223.744,1.018.276,180.597,32.994,18407,49298,88197,152071,152777,251398,314093,457243,275286,296855,238324,184036
RR,719.391,388.137,286.454,31.320,10.987,13018,36401,37492,42737,28696,78833,90923,97762,102922,76564,65166,48877
RS,19.777.496,8.971.671,8.113.035,2.299.668,300.639,193422,463972,1291122,1631470,1500522,1880241,2644246,2538846,2225125,2257044,1657428,1494058
SC,12.135.919,5.790.021,5.131.499,887.097,247.864,70341,175917,612586,829943,798486,1095766,1703141,2028759,1503143,1480664,1130184,706989
SE,3.548.284,1.727.613,1.495.430,277.547,39.758,20263,48928,172497,227367,193069,357324,372175,593013,543670,412747,361366,245865
SP,84.740.876,38.161.052,35.561.065,9.507.454,1.185.679,699533,1981720,4047909,5387493,5591799,8435370,11809214,14113529,12496169,7934638,5259162,6984340
TO,2.115.588,1.071.934,868.787,137.138,31.285,11031,50153,96713,137735,114674,208781,260152,342777,322411,241605,188699,140857
